value,optlen,family,mode,size,_vtids_length,tidptr,parent_comm,count,transport_header_type,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,vtids,version,p_name,egid,grouplist,tcache,head,content_size,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,saddr,uid,frag_off,ruid,nodep,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,tos,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,,,,,,,sched_process_exit,,,,,0,,7026832583,,,lttngracing.sh,,,,,238440,,,,,,,,,,,,,,,,15132,,,,,0,,,3,,,,,,,,,2,,,2,,lttngracing.sh,,,,,,,,,,20,,,,,,,85255775,,,0,,,,,,,,
,,,,,,,,,,syscall_exit_restart_syscall,,,,,0,,7026832583,,,sudoTracing.sh,,,,,238440,,,,,,,,,,,,,,,,,,,,,0,,,318,,,,,,,,,2,,,2,,,,,,,,-516,,,,,,,,,,,92230481553399,,,0,,,,,,,,
,,,,,,,,1,,syscall_write,,,,,0,,14053665166,,,sudoTracing.sh,,,,,238440,,,,,,,,,,,,,,,,,,,,,0,4,,18,,,,,,,,,2,,,2,,,,,,2126001347,,1,,,,,,,,,,,85425357,,,0,,,,,,,,
,,,,,,,,1,,syscall_read,,,,,0,,14053665166,,,sudoTracing.sh,,,,,238440,,,,,,,,,,,,,,,,,,,,,0,3,,17,,,,,,,,,2,,,2,,,,,,2126001991,,1,,,,,,,,,,,85461191,,,0,,,,,,,,
,,,,,,,,,,syscall_close,,,,,0,,14054825162,,,lttng-sessiond,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,44,,20,,,,,,,,,3,,,3,,,,,,,,0,,,,,,,,,,,85568221,,,0,,,,,,,,
,,,,,,,,,,syscall_getuid,,,,,0,,14053665166,,,sudoTracing.sh,,,,,238440,,,,,,,,,,,,,,,,,,,,,0,,,160,,,,,,,,,2,,,2,,,,,,,,0,,,,,,,,,,,92230481779804,,,0,,,,,,,,
,,,,,,,,8,,syscall_read,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,14,,17,,,,,,,,,3,,,3,,,,,,2125911424,,8,,,,,,,,,,,85679627,,,0,,,,,,,,
,,,438,,,,,,,syscall_open,,,,,0,,14053665166,,,sudoTracing.sh,,,,,238440,,,,,,,,,,,,,,,,,,,,,0,,,19,,,,,,,,,2,,,2,,,,,,,,6,,,,,,/etc/login.defs,,,,,85651190,,,0,,,,131072,,,,
,,,,,,,,,,syscall_getpid,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,30,,,,,,,,,3,,,3,,,,,,,,121,,,,,,,,,,,85702231,,,0,,,,,,,,
,,,,,,,,,,syscall_getpid,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,30,,,,,,,,,3,,,3,,,,,,,,121,,,,,,,,,,,85712960,,,0,,,,,,,,
,,,,,,,,4096,,syscall_read,,,,,0,,14053665166,,,sudoTracing.sh,,,,,238440,,,,,,,,,,,,,,,,,,,,,0,6,,17,,,,,,,,,2,,,2,,,,,,12416384,,4096,,,,,,,,,,,85715408,,,0,,,,,,,,
,,,,,,,,,,syscall_getpid,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,30,,,,,,,,,3,,,3,,,,,,,,121,,,,,,,,,,,85745512,,,0,,,,,,,,
,,,,,,,,,,syscall_getpid,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,30,,,,,,,,,3,,,3,,,,,,,,121,,,,,,,,,,,85750096,,,0,,,,,,,,
,,,,,,,,,,syscall_getpid,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,30,,,,,,,,,3,,,3,,,,,,,,121,,,,,,,,,,,85753429,,,0,,,,,,,,
,,,,,,,,,,syscall_getpid,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,30,,,,,,,,,3,,,3,,,,,,,,121,,,,,,,,,,,85774106,,,0,,,,,,,,
,,,,,,,,4096,,syscall_read,,,,,0,,14053665166,,,sudoTracing.sh,,,,,238440,,,,,,,,,,,,,,,,,,,,,0,6,,17,,,,,,,,,2,,,2,,,,,,12416384,,4096,,,,,,,,,,,85791814,,,0,,,,,,,,
,,,,,,,,4096,,syscall_read,,,,,0,,14053665166,,,sudoTracing.sh,,,,,238440,,,,,,,,,,,,,,,,,,,,,0,6,,17,,,,,,,,,2,,,2,,,,,,12416384,,2324,,,,,,,,,,,85862439,,,0,,,,,,,,
,,,,,,,,,,syscall_close,,,,,0,,14053665166,,,sudoTracing.sh,,,,,238440,,,,,,,,,,,,,,,,,,,,,0,6,,20,,,,,,,,,2,,,2,,,,,,,,0,,,,,,,,,,,85881605,,,0,,,,,,,,
,,,,,,,,,,syscall_getpid,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,30,,,,,,,,,3,,,3,,,,,,,,121,,,,,,,,,,,86000407,,,0,,,,,,,,
,,,,,1,,kworker/u8:0,,,sched_process_fork,,4026531836,15133,,0,,7022906455,15133,,kworker/u8:0,,,,,298888,,7342,,,,15133,,,,,,,,,,,,,,,0,,,9,,,,,,,,,1,,7342,1,,,,,kworker/u8:0,,,,,,,,,,4026531836,,,,86086136,,,0,,,,,,,,
,,,438,,,,,,,syscall_open,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,19,,,,,,,,,3,,,3,,,,,,,,15,,,,,,/proc/sudoTracing.sh/cgroup,,,,,86133948,,,0,,,,655360,,,,
,,,,,,,,1024,,syscall_read,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,15,,17,,,,,,,,,3,,,3,,,,,,6359640,,143,,,,,,,,,,,86183323,,,0,,,,,,,,
,,,,,,,,,,syscall_close,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,15,,20,,,,,,,,,3,,,3,,,,,,,,0,,,,,,,,,,,86243843,,,0,,,,,,,,
,,,438,,,,,,,syscall_open,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,19,,,,,,,,,3,,,3,,,,,,,,15,,,,,,/proc/sudoTracing.sh/comm,,,,,86280354,,,0,,,,655360,,,,
,,,,,,,,1024,,syscall_read,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,15,,17,,,,,,,,,3,,,3,,,,,,6359640,,5,,,,,,,,,,,86300353,,,0,,,,,,,,
,,,,,,,,,,syscall_close,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,15,,20,,,,,,,,,3,,,3,,,,,,,,0,,,,,,,,,,,86309155,,,0,,,,,,,,
,,,,,,,,,,syscall_readlinkat,,,,,0,-100,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,276,,,,,,,,,3,,,3,/proc/sudoTracing.sh/exe,,,,,6301200,,13,,,,,,,,,,,92230482474072,99,,0,,,,,,,,
,,,438,,,,,,,syscall_open,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,19,,,,,,,,,3,,,3,,,,,,,,15,,,,,,/proc/sudoTracing.sh/cmdline,,,,,86355093,,,0,,,,655360,,,,
,,,,,,,,1024,,syscall_read,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,15,,17,,,,,,,,,3,,,3,,,,,,6359640,,17,,,,,,,,,,,86375405,,,0,,,,,,,,
,,,,,,,,1024,,syscall_read,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,15,,17,,,,,,,,,3,,,3,,,,,,6359640,,0,,,,,,,,,,,86397072,,,0,,,,,,,,
,,,,,,,,,,syscall_close,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,15,,20,,,,,,,,,3,,,3,,,,,,,,0,,,,,,,,,,,86404936,,,0,,,,,,,,
,,,,,,,,,,sched_process_exec,,,,15133,0,,7022906455,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,15133,,,,,0,,,8,,,,,,,,,1,,,1,,,,,,,,,,,,,,/sbin/modprobe,,,,,86407697,,,0,,,,,,,,
,,,438,,,,,,,syscall_open,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,19,,,,,,,,,3,,,3,,,,,,,,15,,,,,,/proc/sudoTracing.sh/status,,,,,86418270,,,0,,,,655360,,,,
,,,,,,,,2048,,syscall_read,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,15,,17,,,,,,,,,3,,,3,,,,,,6359640,,937,,,,,,,,,,,86449519,,,0,,,,,,,,
,,,,,,,,1024,,syscall_read,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,15,,17,,,,,,,,,3,,,3,,,,,,6360577,,0,,,,,,,,,,,86546342,,,0,,,,,,,,
,,,,,,,,,,syscall_close,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,15,,20,,,,,,,,,3,,,3,,,,,,,,0,,,,,,,,,,,86554102,,,0,,,,,,,,
,,,0,,,,,,,syscall_access,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,,,36,,,,,,,,,1,,,1,,,,,,,,-2,,,,,,/etc/ld.so.nohwcap,,,,,92230482702508,,,0,,,,,,,,
,,,438,,,,,,,syscall_open,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,19,,,,,,,,,3,,,3,,,,,,,,-2,,,,,,/proc/sudoTracing.sh/sessionid,,,,,86573894,,,0,,,,655360,,,,
,,,4,,,,,,,syscall_access,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,,,36,,,,,,,,,1,,,1,,,,,,,,0,,,,,,/etc/ld.so.preload,,,,,92230482740685,,,0,,,,,,,,
,,,3,,,,,,,syscall_open,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,,,19,,,,,,,,,1,,,1,,,,,,,,0,,,,,,/etc/ld.so.preload,,,,,86600248,,,0,,,,524288,,,,
,,,438,,,,,,,syscall_open,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,19,,,,,,,,,3,,,3,,,,,,,,-2,,,,,,/proc/sudoTracing.sh/loginuid,,,,,86604415,,,0,,,,655360,,,,
,,,,,,,,,,syscall_close,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,0,,20,,,,,,,,,1,,,1,,,,,,,,0,,,,,,,,,,,86618112,,,0,,,,,,,,
,,,438,,,,,,,syscall_open,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,19,,,,,,,,,3,,,3,,,,,,,,15,,,,,,/proc/sudoTracing.sh/cgroup,,,,,86628373,,,0,,,,655360,,,,
,,,2400,,,,,,,syscall_open,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,,,19,,,,,,,,,1,,,1,,,,,,,,0,,,,,,/usr/lib/arm-linux-gnueabihf/libarmmem.so,,,,,86648946,,,0,,,,524288,,,,
,,,,,,,,512,,syscall_read,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,0,,17,,,,,,,,,1,,,1,,,,,,2129254416,,512,,,,,,,,,,,86662539,,,0,,,,,,,,
,,,,,,,,1024,,syscall_read,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,15,,17,,,,,,,,,3,,,3,,,,,,6359640,,143,,,,,,,,,,,86646394,,,0,,,,,,,,
,,,,,,,,1000,,syscall_read,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,0,,17,,,,,,,,,1,,,1,,,,,,2129253160,,1000,,,,,,,,,,,86675456,,,0,,,,,,,,
,,,,,,,,45,,syscall_read,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,0,,17,,,,,,,,,1,,,1,,,,,,2129253104,,45,,,,,,,,,,,86681393,,,0,,,,,,,,
,,,,,,,,,,syscall_close,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,15,,20,,,,,,,,,3,,,3,,,,,,,,0,,,,,,,,,,,86683893,,,0,,,,,,,,
,,,,,,,,,,syscall_close,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,0,,20,,,,,,,,,1,,,1,,,,,,,,0,,,,,,,,,,,86754935,,,0,,,,,,,,
,,,1,,,,,,,syscall_open,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,,,19,,,,,,,,,1,,,1,,,,,,,,0,,,,,,/etc/ld.so.cache,,,,,86795560,,,0,,,,524288,,,,
,,,,,,,,,,syscall_close,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,0,,20,,,,,,,,,1,,,1,,,,,,,,0,,,,,,,,,,,86810976,,,0,,,,,,,,
,,,0,,,,,,,syscall_access,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,,,36,,,,,,,,,1,,,1,,,,,,,,-2,,,,,,/etc/ld.so.nohwcap,,,,,92230482973861,,,0,,,,,,,,
,,,,,,,,,,syscall_getpid,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,30,,,,,,,,,3,,,3,,,,,,,,121,,,,,,,,,,,86831653,,,0,,,,,,,,
,,,,,,,,,,syscall_getpid,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,30,,,,,,,,,3,,,3,,,,,,,,121,,,,,,,,,,,86837538,,,0,,,,,,,,
,,,2400,,,,,,,syscall_open,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,,,19,,,,,,,,,1,,,1,,,,,,,,0,,,,,,/lib/arm-linux-gnueabihf/libc.so.6,,,,,86838268,,,0,,,,524288,,,,
,,,0,,,,,,,syscall_access,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,36,,,,,,,,,3,,,3,,,,,,,,0,,,,,,/run/systemd/journal/flushed,,,,,92230482994642,,,0,,,,,,,,
,,,,,,,,512,,syscall_read,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,0,,17,,,,,,,,,1,,,1,,,,,,2129254264,,512,,,,,,,,,,,86851340,,,0,,,,,,,,
,,,493,,,,,,,syscall_mkdir,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,41,,,,,,,,,3,,,3,/var/log/journal/89caa8f7a5e342689a75e351c1e05987,,,,,,,-2,,,,,,,,,,,92230483011100,,,0,,,,,,,,
,,,,,,,,2880,,syscall_read,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,0,,17,,,,,,,,,1,,,1,,,,,,2129251128,,2880,,,,,,,,,,,86864465,,,0,,,,,,,,
,,,,,,,,47,,syscall_read,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,0,,17,,,,,,,,,1,,,1,,,,,,2129251072,,47,,,,,,,,,,,86876497,,,0,,,,,,,,
,,,416,,,,,,,syscall_open,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,19,,,,,,,,,3,,,3,,,,,,,,-2,,,,,,/var/log/journal/89caa8f7a5e342689a75e351c1e05987/system.journal,,,,,86893319,,,0,,,,655426,,,,
,,,0,,,,,,,syscall_access,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,36,,,,,,,,,3,,,3,,,,,,,,0,,,,,,/run/systemd/journal/flushed,,,,,92230483063340,,,0,,,,,,,,
,,,493,,,,,,,syscall_mkdir,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,41,,,,,,,,,3,,,3,/var/log/journal/89caa8f7a5e342689a75e351c1e05987,,,,,,,-2,,,,,,,,,,,92230483075215,,,0,,,,,,,,
,,,416,,,,,,,syscall_open,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,19,,,,,,,,,3,,,3,,,,,,,,-2,,,,,,/var/log/journal/89caa8f7a5e342689a75e351c1e05987/system.journal,,,,,86940194,,,0,,,,655426,,,,
,,,,,,,,,,syscall_close,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,0,,20,,,,,,,,,1,,,1,,,,,,,,0,,,,,,,,,,,86954205,,,0,,,,,,,,
,,,,,,,,,,syscall_getpid,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,30,,,,,,,,,3,,,3,,,,,,,,121,,,,,,,,,,,87190662,,,0,,,,,,,,
,,,,,,,,,,syscall_getpid,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,30,,,,,,,,,3,,,3,,,,,,,,121,,,,,,,,,,,87197745,,,0,,,,,,,,
,,,,,,,,,,syscall_getpid,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,30,,,,,,,,,3,,,3,,,,,,,,121,,,,,,,,,,,87203474,,,0,,,,,,,,
,,,,,,,,,,syscall_getpid,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,30,,,,,,,,,3,,,3,,,,,,,,121,,,,,,,,,,,87213630,,,0,,,,,,,,
,,,,,,,,,,syscall_getpid,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,30,,,,,,,,,3,,,3,,,,,,,,121,,,,,,,,,,,87241912,,,0,,,,,,,,
,,,,,,,,,,syscall_getpid,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,30,,,,,,,,,3,,,3,,,,,,,,121,,,,,,,,,,,87246807,,,0,,,,,,,,
,,,,,,,,,,syscall_getpid,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,30,,,,,,,,,3,,,3,,,,,,,,121,,,,,,,,,,,87250609,,,0,,,,,,,,
,,,,,,,,,,syscall_getpid,,,,,0,,14054825162,,,systemd-journal,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,,,30,,,,,,,,,3,,,3,,,,,,,,121,,,,,,,,,,,87279047,,,0,,,,,,,,
,,,,,,,,84,,syscall_write,,,,,0,,14054825162,,,rs:main Q:Reg,,,,,346392,,,,,,,,,,,,,,,,,,,,,0,9,,18,,,,,,,,,3,,,3,,,,,,1981937456,,84,,,,,,,,,,,87489671,,,0,,,,,,,,
,,,16384,,,,,,,syscall_open,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,,,19,,,,,,,,,1,,,1,,,,,,,,0,,,,,,/etc/modprobe.d,,,,,87906231,,,0,,,,673792,,,,
,,,,,,,,32768,,syscall_getdents64,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,0,,178,,,,,,,,,1,,,1,,,,,,,,208,,,,,,,,,,,92230484084898,,,0,,,,,,,,344400
,,,,,,,,32768,,syscall_getdents64,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,0,,178,,,,,,,,,1,,,1,,,,,,,,0,,,,,,,,,,,92230484151512,,,0,,,,,,,,344400
,,,,,,,,,,syscall_close,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,0,,20,,,,,,,,,1,,,1,,,,,,,,0,,,,,,,,,,,88005866,,,0,,,,,,,,
,,,16384,,,,,,,syscall_open,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,,,19,,,,,,,,,1,,,1,,,,,,,,0,,,,,,/lib/modprobe.d,,,,,88045241,,,0,,,,673792,,,,
,,,,,,,,32768,,syscall_getdents64,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,0,,178,,,,,,,,,1,,,1,,,,,,,,120,,,,,,,,,,,92230484208751,,,0,,,,,,,,377344
,,,,,,,,32768,,syscall_getdents64,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,0,,178,,,,,,,,,1,,,1,,,,,,,,0,,,,,,,,,,,92230484230574,,,0,,,,,,,,377344
,,,,,,,,,,syscall_close,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,0,,20,,,,,,,,,1,,,1,,,,,,,,0,,,,,,,,,,,88084460,,,0,,,,,,,,
,,,0,,,,,,,syscall_open,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,,,19,,,,,,,,,1,,,1,,,,,,,,0,,,,,,/lib/modprobe.d/aliases.conf,,,,,88095085,,,0,,,,655360,,,,
,,,,,,,,4096,,syscall_read,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,0,,17,,,,,,,,,1,,,1,,,,,,345232,,655,,,,,,,,,,,88149980,,,0,,,,,,,,
,,,,,,,,4096,,syscall_read,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,0,,17,,,,,,,,,1,,,1,,,,,,345232,,0,,,,,,,,,,,88198678,,,0,,,,,,,,
,,,,,,,,,,syscall_close,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,0,,20,,,,,,,,,1,,,1,,,,,,,,0,,,,,,,,,,,88204928,,,0,,,,,,,,
,,,0,,,,,,,syscall_open,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,,,19,,,,,,,,,1,,,1,,,,,,,,0,,,,,,/etc/modprobe.d/blacklist-rtl8192cu.conf,,,,,88215657,,,0,,,,655360,,,,
,,,,,,,,4096,,syscall_read,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,0,,17,,,,,,,,,1,,,1,,,,,,345232,,20,,,,,,,,,,,88231542,,,0,,,,,,,,
,,,,,,,,4096,,syscall_read,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,0,,17,,,,,,,,,1,,,1,,,,,,345232,,0,,,,,,,,,,,88241542,,,0,,,,,,,,
,,,,,,,,,,syscall_close,,,,,0,,14045812910,,,kworker/u8:0,,,,,298888,,,,,,,,,,,,,,,,,,,,,0,0,,20,,,,,,,,,1,,,1,,,,,,,,0,,,,,,,,,,,88244876,,,0,,,,,,,,
